List,Rank,Item,Impact,Effort
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",1,Mine the Las Vegas Mahjong email list + Airtable People/Attendance into the first 5-10 real FMG tables this week,Very high,Low (founder
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",2,Founder personally seats 2 Las Vegas recurring tables in person as the certified instructor,Very high,Low-med (2 s
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",3,Make 'Need a 4th' the reflex acquisition loop (priority referral to nearby want-to-play pool + re-share nudge),Very high,Low (loop at
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",4,"Turn every filled table into a recurring game with an immediate, explicit 'make this weekly' ask after game one",Very high,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",5,"Launch Las Vegas Mahjong Weekly newsletter now, manual, same day each week",Very high,Low (manual)
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",6,"Sign and activate 3-5 Las Vegas ambassadors from existing relationships, each to one filled recurring table",Very high,Med (calls)
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",7,"Work the Oh My Mahjong Hot list teacher-to-teacher: list their open plays/classes free, list-first-ask-second",Very high,Med (1 week 
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",8,"Bulk-approve the 552 staged pending_review records post-deploy (273 open plays, 279 teachers/orgs)",High,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",9,Beat Sloperama on day one: position the player flow as 'Find a 4th / find players near you',High,Low (copy/po
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",10,Run the founder daily routine: a hard daily count of warm inventory adds + 5 teacher / 3 ambassador touches,High,Med (daily d
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",11,"Lock one safe public venue per proof city (library, community center, senior center)",High,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",12,Use the shipped attribution + heat map weekly to place the next ambassador where demand exists and no tables do,High,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",13,Send the Graduation Kit within 14 days of every teacher/host claim,High,Low-med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",14,Issue numbered Founding Ambassador emails in Shauna's voice + server-issued referral codes (the one launch honor),High,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",15,"Aggregate the national American Mahjong tournament calendar to near-total coverage (finite, public, prestige)",High,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",16,"Capture the next 90 days of known events from the OMM network + CRM Organizations, list-first then notify each organizer",High,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",17,Add newsletter signup prompts to every key page so SEO and word-of-mouth traffic converts to the habit layer,High,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",18,Wire Mailchimp key + Audience ID into Vercel and import the 195 deduped subscribers; send Issue 1,High,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",19,"Confirm Kristel vs Crystal before any San Antonio outreach (one founder text, hour one)",Med-high,Trivial
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",20,Set the Dallas Welcome Week date (recommended week of July 13) to anchor the DFW liquidity proof,High,Trivial
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",21,Harvest Facebook-group 'looking for a game in [neighborhood]' demand into permanent crawlable pages,High,Med (ongoing
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",22,"Recruit Tier A partners (head teachers, major organizers, tournament directors) as anchor partners with logos/listings",High,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",23,Reframe ambassadors' primary job from 'start tables' to 'submit local events/open plays + flag one teacher',High,Low (program
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",24,Open a dead-simple submission path (events@ + a 5-field form) as both intake and a 'this is the place to be listed' signal,Med-high,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",25,"Capture 'find players near me' demand in cities with no tables, feeding the heat map pipeline",Med-high,Low (atop wa
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",26,Aggregate JCC / library / senior-center / community-center open-play inventory (the un-indexed IRL backbone),High,High (manual
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",27,Build a neutral cross-brand 'open play / drop-in this week near me' view across all clubs/teachers/venues,High,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",28,Relabel the Las Vegas Sponsored box to 'From our founder' and publish the LV community-only disclosure,Med,Trivial
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",29,Publish the Teacher Promise (money never crosses the table) on /teachers,Med-high,Trivial (rid
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",30,Make every event listing and organizer conversation a 'Get [City] Mahjong Weekly' subscription funnel,Med-high,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",31,Ask every seated player and ambassador to refer one friend using the shipped referral attribution,Med-high,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",32,Collect and publish real testimonials and photos from the first tables (homepage + newsletter),Med-high,Low (ongoing
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",33,Write a single strong real Las Vegas city page showcasing genuine local density,Med-high,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",34,"Capture seasonal NMJL spring card-release demand with a 'new card dropped, find a game/teacher to learn it' play",Med-high,Low-med (sea
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",35,Pursue the Oh My Mahjong partnership: deter then partner (Founding Teacher invites to her Dallas Mentors first),High,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",36,Run a weekly 15-minute founder review on the City Launch Scorecard + Warm Relationship Pipeline with a written kill rule,Med-high,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",37,"Sort all warm relationships into Hot/Warm/Cold and work strictly top-down, Las Vegas Hot first",Med-high,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",38,Get the teacher directory to ~20 real published teachers via the shipped admin workflow before publishing the public page,Med-high,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",39,"Adopt an activation-first reward structure: status at signup, reimbursements/priority only after a played table",Med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",40,"Mine retirement / 55+ communities (Sun City, The Villages, Del Webb) via activities offices",Med-high,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",41,"Submit a Tier-A-only, data-driven sitemap to Search Console and baseline current state-page performance",Med,Low-med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",42,Fix the data-honesty signals on state pages (no seed-driven 'Players/Events/Venues' counters),Med-high,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",43,"Concentrate force on ~5 liquid metros, not 25 thin ones; seed the next 20 for SEO without claiming they're active",High,Low (strateg
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",44,"Build the Las Vegas mahjong-friendly venue list (cafes, clubs, senior centers, community rooms) as supply, not a directory",Med-high,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",45,Send the 'list your event with us' standard pitch to every organizer you know,Med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",46,Build Shauna's flagship /teachers/shauna-bruckman entity page as the cross-link anchor to lasvegasmahj.com,Med,Low-med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",47,"Add a tournaments + retreats section as high-intent, low-supply categories where being first matters most",Med,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",48,"Establish the Day-60 tripwire (~Aug 10): if DFW under half its bar and SA anchor dead, pivot market 2 to Boca/Naples",Med,Trivial (dec
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",49,Confirm the Dallas Test 5 criteria and the September 9 review as the honest go/no-go gate,Med,Trivial
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",50,"Pitch 3 mahjong businesses (card sellers, accessory shops, studios) for a listing or cross-link",Med,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",51,Recruit Facebook-group admins as ambassadors rather than spamming their groups,Med-high,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",52,"Pull forward only the snowbird cities on base-building targets, not Las Vegas table counts",Med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",53,Run the ask-played cron + private-email confirmation to compute the >=50% confirmation guardrail honestly,Med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",54,Set the second-game default as an A/B (explicit button vs opt-out) on the first 12-20 tables,Med,Low-med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",55,Ship the seasonal paused-state for Florida listings BEFORE any Florida listing publishes,Med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",56,"Use the one travel copy line ('Where are you, or where are you going?') and defer the travel page to the September snowbird campaign",Low-med,Trivial
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",57,"Seed the phrase 'just check Find My Mahj Game' in every conversation, newsletter, and ambassador chat",Med (soft si,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",58,Add city-scoped FAQ + FAQPage schema to launched city pages for featured-snippet wins,Med,Low-med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",59,"Stand up the /guides evergreen hub (how to play NMJL, start a group, the spring card) as the link-earning moat",Med,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",60,Out-execute Bam Good Time on the player/table layer + freshness + claimability they structurally lack,Med-high,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",61,Treat I Love Mahj as adjacent not competitive (online-first); own the in-person 'near me' they don't,Med,Low (positio
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",62,"List cruise/retreat brands (Destination Mah Jongg, Mah Jongg Fever, MAHJourneys) as a future affiliate/listing channel",Low-med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",63,Add a 'submit your venue' one-field form so the niche feeds venue metadata,Low-med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",64,Rotate one featured teacher/venue into each newsletter issue to give organizers a reason to want listing,Med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",65,Add one warm founder-voice human note to every newsletter (a player who found her people),Med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",66,Make every newsletter issue trivially forwardable and explicitly ask 'know someone looking for a game? forward this',Med,Trivial
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",67,"Convert the Airtable CRM (People/Sessions/Instructors/Orgs, 956 entities) into seeded teacher + open-play listings",Med-high,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",68,Tag every listing with a verification status ('Verified' vs 'Public listing') and show the difference,Med-high,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",69,Expire stale listings automatically; quarterly re-confirm recurring ones,Med-high,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",70,"Keep the directory American Mahjong only (152 tiles, Jokers, East deals), never dilute with Riichi/Chinese",Med,Trivial
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",71,Reciprocal editorial cross-links between lasvegasmahj.com and FMG's Nevada/teacher pages (not sitewide footer),Med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",72,Capture 'find a 4th' and 'mahjong lessons {city}' high-commercial-intent queries with real teacher/event pages,Med,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",73,Recruit one teacher-ambassador who arrives with 8-40 students for instant table liquidity in each anchor metro,High,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",74,Instrument the K-factor (invites sent per host x invite-to-join rate) and push it toward 1,Med,Low-med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",75,Send a weekly 'your game is in 2 days' reminder tied to the fixed slot as the habit cue,Med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",76,Position 'safety / money never crosses the table' as the public brand any impersonal competitor looks worse against,Med-high,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",77,"Run stranger-matching pilots in Dallas only, founder-approved, 3 tables/day cap, with host approval before any join",Med,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",78,"Track PTWM (players with 2+ confirmed sessions, same table lineage, 28 days) as the belonging metric",Med,Med (needs r
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",79,"Keep the homepage a 6-section front door (find people, not a directory/dashboard) at go-live",Med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",80,Keep /venues built but unlinked; venue stays metadata inside events/teachers/state pages,Med,Trivial (hol
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",81,Prove the model travels: seed one recurring open play in a second city via an eager ambassador,Med,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",82,Stand up Bing Webmaster alongside Search Console for this 45-70 audience,Low-med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",83,Add a related-cities mesh (nearest by coords) so Tier-B city pages stay crawl-reachable and can graduate,Low-med,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",84,"Transform or canonicalize stale event pages into 'happens annually, here's next year' never dead-dated",Low-med,Low-med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",85,Designate a daily hard inventory number (15-25 verified entries) and hit it no matter what,Med,Med (daily)
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",86,Use the LV list as the seed for the second city's newsletter once a city hits ~8-10 real events,Low-med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",87,Capture warm NJ and Orange County contacts (only the founder knows them) into the pipeline,Med,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",88,Keep the LV guardrail enforced: /teachers excludes Nevada; NV teachers flagged 'do not publish as competing',Med,Trivial (ver
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",89,Pursue open-play hosts aggressively in Las Vegas (the recurring-density layer that ties to table formation),Med,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",90,Add a 'View My Tables / My Games' phone-number return path with no account,Low-med,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",91,"Pilot SMS confirmations + the 4th-seat alert (this audience acts on texts, not email)",Med,Med (Twilio)
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",92,Pitch a permanent backlink + co-promotion to each anchor partner as a stake in the category's home,Med,Low-med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",93,Defer Tier B/C influencer outreach until the three proof cities work,Low-med,Trivial (dec
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",94,Add a small 'mahjong news and updates' section fed from the newsletter (low urgency),Low,Low-med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",95,Build the first non-LV city page only after the LV page and the playbook are proven,Low-med,Med
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",96,"Defer cruise/retreat booking flows, fancy maps, and any 'someday' feature out of the 90-day window",Low (avoids ,Trivial (dec
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",97,Record the prior production deployment ID before the coordinated deploy for one-click rollback,Med (risk re,Trivial
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",98,Run the CLAUDE.md pre-push gate (tsc clean + Technical + Brand reviewer workflows) before the merge to main,Med (risk re,Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",99,File every completed asset into the CEO OS Drive with dedupe + changelog; end with a CEO OS Update Report,Med (ops),Low
"Top 100 Opportunities for FMG (90-day, ranked: become the DEFAULT place people go for Mahjong PEOPLE)",100,"Freeze net-new feature work for 30 days unless it directly unblocks inventory, the newsletter, or LV tables",Med (focus),Trivial (dec
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",1,'Need a 4th' urgency loop: a 3/4 table fires a time-boxed '1 seat to go' to nearby want-to-play signups + a re-share nudge,Very high,Med (atop sh
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",2,Run-It-Back clone-with-roster + is_recurring (turn one played table into a standing weekly game in one tap),Very high,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",3,Host approval gate before a stranger joins via pooling,Very high,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",4,"Tables.root_id + game_sessions so PTWM and the 'third played game, same group' conversion event are computable",High,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",5,5-6 person default roster on tables (the table that lives at four dies at four),High,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",6,/admin/today hero tile: Weekly Player-Games Confirmed + the >=50% confirmation guardrail beside it,High,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",7,The homepage swap: make / serve the approved V2 'find people to play mahjong with' front door,High,Low
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",8,Apply the outstanding ambassadors.referral_code SQL delta (server-issued ref codes for attribution),Med-high,Trivial
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",9,"Activity-first discovery: location in, real nearby activities out, one tap to act, honest empty state",High,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",10,"Supabase cities table (top ~1,500 US cities: slug, name, state, county, metro, population, lat/lng, status)",High,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",11,isIndexable Tier gate wired into generateMetadata robots + a Tier-A-only data-driven split sitemap,High,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",12,"/states/[state]/[city] city page with the content floor (true intro, live listings, local how-to-find guidance, prefilled listing CTA, FAQ schema)",High,Med-high
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",13,"Public teacher directory page + /teachers/[teacher-slug] entity pages (Person + Service schema), launched at ~20 real teachers",Med-high,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",14,/events/[event-slug] entity pages + /tournaments hub with Event schema and stale-event handling,Med-high,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",15,events@ intake + a 5-field 'submit your event' form (what/where/when/who/contact),Med-high,Low
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",16,'Submit your venue' one-field form feeding venue metadata (not a browsable venue directory),Med,Low
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",17,Listing verification-status field + UI badge ('Verified' vs 'Public listing'),Med-high,Low
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",18,Automatic stale-listing expiry + quarterly recurring re-confirm job,Med-high,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",19,"Seasonal paused-state for snowbird/Florida listings, shipped before any Florida listing publishes",Med,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",20,Second-game default as an A/B (explicit button vs opt-out) on the first 12-20 tables,Med,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",21,"Numbered Founding Ambassador email template in Shauna's voice, server-issued ref code on approval",Med-high,Low
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",22,Graduation Kit auto-send within 14 days of every claim (templated email + assets),Med-high,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",23,"SMS confirmations + 4th-seat alerts via Twilio, flag-gated off until confirmed",Med-high,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",24,Weekly 'your game is in 2 days' reminder tied to the fixed recurring slot,Med,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",25,Sub-backfill flow: a regular taps 'need a sub this week' and the area player pool fills it,Med-high,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",26,"One strong real Las Vegas city page (genuine density showcase, the proof template)",Med-high,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",27,Relabel the LV Sponsored box to 'From our founder' + publish the LV community-only disclosure (rides deploy),Med,Trivial
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",28,Publish the final Teacher Promise wording on /teachers (rides the deploy),Med-high,Trivial
