Reason,Severity,Build required,Time required,Priority
"FMG loses today, and will keep losing until it ships, on three fronts.",High,See city-page + near-me SEO build,L,P0
"Every city SERP, purely on missing city pages and weak on-page targeting. For ""where to play mahjong in Dallas"" the winners are editorial guides plus bamgoodtime.com/mahjong-clubs/",High,See city-page + near-me SEO build,L,P0
"Awareness and brand gravity, against Oh My Mahjong (~234K Instagram, 800-1,500 stores) and the authority/habit pull of NMJL during card season. FMG has no megaphone yet, so it cann",High,See city-page + near-me SEO build,L,P0
"Density and cold-start. Below a metro's liquidity floor, a first search returns no fillable seat, and being listed with no players delivered makes hosts lapse, the thin-metro death",High,See city-page + near-me SEO build,L,P0
Bam ranks for 'mahjong [city]' via ~500 city pages; FMG absent,High,"Ship the launch sitemap and fix the duplicate title-suffix bug FIRST. Live sitemap.xml is still 60 URLs and MISSING /events, /teachers, /play, /newsletter, /help that alr",M,P0
Bam ranks for 'mahjong [city]' via ~500 city pages; FMG absent,High,"Render Players + Events + Venues all in the server HTML on state pages (CSS-only tabs or stacked sections), not conditional JSX. Today only the Players tab is in the serv",M,P0
"FACT: It is the closest thing to FMG that already exists and it is live now. A user who wants a real club to join finds 1,235 US/Canada club listings (verified June 2026, up from ~",High,"FACT: Bam is club-only. It has no individual-player layer (no 'find a 4th tonight,' no substitute/Bench, no skill or schedule matching), no last-confirmed-active date on listings, ",M,P1
"Bam strength: Already executing FMG's core playbook: structured directory (claims 1,218-1,228 clubs US/C",High,Verified freshness as the differentiator: confirmed-active [date] on every listing with auto re-confirmation,M,P1
"Bam strength: Already executing FMG's core playbook: structured directory (claims 1,218-1,228 clubs US/C",High,"Add the player-to-player matching layer beneath the club layer (fill a seat, find a sub, match by skill/stakes)",M,P1
"Bam strength: Already executing FMG's core playbook: structured directory (claims 1,218-1,228 clubs US/C",High,Add teacher discovery/booking as a first-class product (theirs is clubs-only),M,P1
Bam ranks for 'mahjong [city]' via ~500 city pages; FMG absent,High,Build /states/{state}/{city} city pages - the core gap vs Bam Good Time (which has ~500-600 city pages and wins every city SERP). Generate a city page ONLY when it has at,L,P1
Bam ranks for 'mahjong [city]' via ~500 city pages; FMG absent,High,"Win 'near me' on-page targeting now. Rewrite the money H1s/titles to match intent: homepage title 'Find Mahjong Games, Players and Lessons Near You'; homepage H1 add 'gam",M,P1
Bam ranks for 'mahjong [city]' via ~500 city pages; FMG absent,High,"Add per-event and per-teacher detail pages with Event and LocalBusiness JSON-LD (/events/{slug}, per-teacher anchors/pages). Today /events is one flat page linking straig",M,P1
Bam ranks for 'mahjong [city]' via ~500 city pages; FMG absent,High,"Copy the 'notify me when a game/teacher appears near {city}' demand-capture loop that both Bam Good Time and I Love Mahj run, on every zero-inventory state and city page.",M,P1
Bam ranks for 'mahjong [city]' via ~500 city pages; FMG absent,High,"Make /venues a first-class indexable hub and fix orphan/canonical hygiene on all new pages. /venues is built and indexable but ORPHANED (no header/footer link, absent fro",M,P1
Bam ranks for 'mahjong [city]' via ~500 city pages; FMG absent,High,"Make verified freshness the public differentiator. Bam Good Time's 1,228 listings are bulk-seeded with NO 'last confirmed active' signal (their own blog says '140+ clubs'",M,P2
Bam ranks for 'mahjong [city]' via ~500 city pages; FMG absent,High,Stand up a small guides section targeting the proven informational head terms that Bam Good Time and local editorial currently own: 'how to find mahjong players near you',M,P2
Bam ranks for 'mahjong [city]' via ~500 city pages; FMG absent,High,Recruit supply from rivals' weaknesses and pursue partnership over rivalry. Scrape the legacy Where The Winds Blow group table and single-city teacher businesses (Mahjaho,M,P2
