Mission,Rank,Build,Effort,Impact90d,Status
Retention Blueprint,1,Make tables actually recurring: close the loop from a played game to a standing weekly game,S (one p,"Unlocks the only retention mechanic the corpus calls a moat, and makes the North",Open
Retention Blueprint,2,Standing-game weekly reminder for recurring tables,M (one c,"Converts a passive recurring flag into an active weekly habit loop, and feeds th",Open
Retention Blueprint,3,"Need a Sub: the Bench, wired to existing recurring tables (not just new-table matching)",M (new a,"Protects recurring tables from the #1 cause of death (a dropout), and turns each",Open
Retention Blueprint,4,Automated weekly digest email (the habit for the weeks between games and for players not yet in a game),M (weekl,"Gives players not yet in a recurring game a weekly, actionable reason to return,",Open
Retention Blueprint,5,"Freshness loop: confirm-still-active pings for listings, hosts, and teachers",S-M (one,Keeps the freshness loop honest so the weekly digest and discovery pages stay wo,Open
"First 1,000 Players Roadmap, Texas-first",1,Ship the ONE Bench (city seat pool + daily approve-gated matcher) for DFW,M (1-2 w,Turns inbound demand into the first 30-50 seated players and the first confirmed,Open
"First 1,000 Players Roadmap, Texas-first",2,Stand the standing-table loop: 5-6 person rosters + Run It Back + recurring,M (the p,Moves 10-15 first games into 100 recurring tables; recurring games are the goal',Open
"First 1,000 Players Roadmap, Texas-first",3,"Launch the weekly DFW newsletter, hand-made, from the 195 real subscribers",S (signu,Drives the 500-subscriber goal and is the weekly engine that re-seats Bench dema,Open
"First 1,000 Players Roadmap, Texas-first",4,Publish and claim the verified DFW inventory; run teacher outreach as the supply engine,S-M (inv,Builds toward 100 teacher relationships and gives DFW real coverage so the match,Open
"First 1,000 Players Roadmap, Texas-first",5,Recruit and activate 3-5 DFW host/ambassadors and hand them tables,M (relat,"Each activated host carries several recurring tables, compounding the table and ",Open
"First 1,000 Players Roadmap, Texas-first",6,Run the Friday Source-of-Truth scorecard and the Dallas Test tripwire,S (the s,Keeps the whole plan honest and forces the one weekly decision that compounds; i,Open
"First 1,000 Players Roadmap, Texas-first",7,Clone the DFW playbook to San Antonio and Houston only after DFW shows liquidity,L (a ful,This is mostly a days-60-90 move; it is how 1 metro of ~300 players scales towar,Open
Referral Engine,1,Add a share + invite mechanic to the 'Your table is full' email (the peak-joy moment),S (edit ,Every filled table becomes 4 warm broadcasters at their happiest moment. Directl,Open
Referral Engine,2,"Turn the 'Yes, we played' confirmation into the evangelist + testimonial moment",S (one p,Converts proven-happy players into sharers and supplies honest testimonials (no ,Open
Referral Engine,3,Give every host a personal share link with self-serve attribution (not just ambassadors),M (code ,"Reveals which players (not just ambassadors) drive new tables, so you can recogn",Open
Referral Engine,4,"Wire and rewrite the orphaned share-preview into a real post-listing 'You're in, invite your table' page",M (conne,"Turns the dead-end success screen into a viral loop right at launch, and the gro",Open
Referral Engine,5,"Build the 'Get notified when the new card drops' email capture now, fire the spring referral blast later",S for ca,"Within 90 days this is list-building, not payoff, but it is the cheapest high-am",Open
Teacher Love Index,1,Teacher student-handoff link (per-teacher tracked /play link + 1-line class script),M (reuse,Every active teacher becomes a player-supply pipe; turns one teacher into a clas,Open
Teacher Love Index,2,Claim-your-listing + 14-day Graduation Kit (the claim flow already exists; add the kit as the post-claim payoff),S-M (cla,"Converts passive listings into owned, promoted listings; each claim is a teacher",Open
Teacher Love Index,3,"Priority referrals: 'when a player near you asks for a teacher, you are who we send'",M (add l,Strongest retention/advocacy lever; the reason a teacher puts FMG on her own web,Open
Teacher Love Index,4,Founding Teacher recognition: numbered badge on her listing + named newsletter shout-out,S (a bad,"Cheap, high-warmth advocacy; turns a listed teacher into a proud promoter and se",Open
Teacher Love Index,5,"Teacher-to-Ambassador crossover invite (the upgrade path, post-first-shared-link)",S (copy ,Moves the best teachers up the love curve into city-captain advocates who recrui,Open
Teacher Love Index,6,"Teacher profile + featured placement (city-first, real-data-gated to Phase 2)",M (profi,Compounds advocacy once density exists; not a 90-day mover until the 20-teacher ,Open
Teacher Love Index,7,Freshness 'still active' confirm + safety/verification trust marks on her listing,S-M (con,Keeps listings trustworthy and self-cleaning; modest direct advocacy lift but de,Open
Teacher Love Index,8,Teacher-side dashboard: 'players I have helped find games' attribution view,M (auth ,"Reinforces advocacy with evidence once volume exists; a Phase-2 amplifier, not a",Open
Host Success Blueprint,1,The Bench: one approve-gated city seat pool that backfills any open seat,High (ne,Directly protects every recurring table from collapse; converts one-off Played g,Open
Host Success Blueprint,2,Standing-table loop: Run It Back + 5-6 roster default + the played confirmation as the re-engagement hook,Medium. ,Moves games from Played (one-time) to Recurring (the moat). Lifts the confirmati,Open
Host Success Blueprint,3,Host Concierge: done-with-you setup so a hesitant host never carries the work alone,Medium. ,Raises activation (created -> filled -> played) and is the lever to hit 3 of 5 h,Open
Host Success Blueprint,4,"Host trust + control surface: never expose her, always show she is in charge",Low-Medi,"Removes the #1 adoption blocker (fear of strangers/exposure), which gates all ho",Open
Host Success Blueprint,5,Graduation Kit + Founding Host recognition within 14 days of every claim,Low-Medi,Improves host retention and word-of-mouth supply (listings beget users beget lis,Open
Work backwards from FMG dominant in 5 ye,1,"Standing-table loop: root_id lineage + Run-It-Back clone-with-roster + is_recurring (the moat, currently spec-only)",Small-me,Converts one-time fills into standing games; lifts the headline North Star (Week,Open
Work backwards from FMG dominant in 5 ye,2,The Bench: one approve-gated city seat pool that fills empty seats (matcher built but ships DARK and Dallas-only),Medium: ,"Turns dropped seats and scattered players into filled tables in DFW, the exact l",Open
Work backwards from FMG dominant in 5 ye,3,"Weekly local newsletter, sent every week without fail (the habit engine and owned distribution)",Small to,Drives returning visitors and seeds every table fill and event; the leading indi,Open
Work backwards from FMG dominant in 5 ye,4,/admin/today as the single founder cockpit + the North Star hero tile (Weekly Player-Games Confirmed with the +50% confi,Small: c,"Keeps the quarter pointed at real games, surfaces stalled tables before they die",Open
Work backwards from FMG dominant in 5 ye,5,"Teacher claim + graduation kit (relationships now, public directory later) as the supply land grab",Small bu,"Seeds verified inventory and a player pipeline in DFW and beyond, and stocks the",Open
Failure Dashboard,1,"DEATH BY COLD-START: the empty room. A real woman searches her city this week and finds nobody to play with, so the firs",Medium,"Highest. If DFW (the named liquidity proof market) cannot hand-fill tables, ever",Open
Failure Dashboard,2,"DEATH BY NO GAMES PLAYED: the directory nobody uses. Coverage (events, teachers, venues, signups) races up while real ga",Low,Highest. This is the existential honesty check and it is the cheapest to build b,Open
Failure Dashboard,3,"DEATH BY STALE INVENTORY: the source-of-truth claim collapses. Listings go dead, an event has already happened, a teache",Medium,High. Trust is nearly impossible to rebuild with this demographic once a dead li,Open
Failure Dashboard,4,"DEATH BY RETENTION LEAK: the foursome forms and leaves. Four women click into a standing Tuesday game, swap numbers, sta",Medium,"High. Without return, every dollar of acquisition leaks; the business is formati",Open
Failure Dashboard,5,DEATH BY FOUNDER-ONLY PROOF: it works because Shauna does it. The only tables that form are founder-pushed; no one else ,Low,High. Determines whether market 2 is launchable or whether expansion just multip,Open
Failure Dashboard,6,"DEATH BY SAFETY OR TRUST BREACH: one bad incident or one leaked phone number ends it. With a senior audience, a single p",Medium,"Catastrophic if it fires, low-probability if guarded. The asymmetry (one inciden",Open
Failure Dashboard,7,"DEATH BY NEWSLETTER DECAY: the habit loop never starts or quietly dies. The weekly note slips, opens fall, and the one o",Low,Medium-high. The newsletter is the cheapest amplifier and the leading indicator ,Open
Failure Dashboard,8,"DEATH BY FUNDED COMPETITOR OR FACEBOOK: someone buys the supply you refuse to pay for, or Meta ships native 'find player",Low,"Medium in 90 days (slow-moving), high over a year. Worth a low-cost monitor now ",Open
Failure Dashboard,9,"DEATH BY GEO FICTION: the product promises 'enter your zip, pick 5/10/25/50 miles' but has no lat/long anywhere, so near",Medium,Medium. Smaller than true cold-start but dangerous because it corrupts the cold-,Open
Love Map for Find My Mahj Game,1,"The Welcome Back: a warm, instant reply to every 'I Want to Play' and Bench signup",Low (1 e,Every single new player feels personally received from the first second. Directl,Open
Love Map for Find My Mahj Game,2,The Table-Fills moment as a belonging ceremony (not a logistics email),Low (cop,Raises first-game played-confirmation rate (the North Star guardrail) by making ,Open
Love Map for Find My Mahj Game,3,The Standing Game ('Run It Back' → real recurrence) loop she would grieve to lose,Medium (,Drives the depth metric (recurring tables active this week) and the PTWM belongi,Open
Love Map for Find My Mahj Game,4,The 'You found your people' recognition at the third played game,Medium (,Creates the story players tell their friends ('this little site found me my Tues,Open
Love Map for Find My Mahj Game,5,The Bench: an approve-gated city seat pool so no one waits alone,Medium-H,"Turns scattered, lonely demand into formed tables; raises Tables Filled and feed",Open
Love Map for Find My Mahj Game,6,"Safety made visible as warmth, not fine print",Low (cop,"Higher claim-completion at the moment of hesitation, fewer drop-offs from safety",Open
Love Map for Find My Mahj Game,7,"The reachable human: a real person, every time, by phone or text",Low (env,"Reduces abandonment when a player feels stuck, converts confusion into a saved r",Open
Love Map for Find My Mahj Game,8,"The weekly local note (newsletter) as a small, warm ritual",Low-Medi,"Builds the Reach dimension of the North Star, keeps not-yet-placed players warm ",Open
